   	     	equipos_con_juegos_incompletos	            fitness            
   	     	---------------------------   	-------------------------------
gen	evals	std    	min	avg  	max         	std    	min    	avg    	max    
0  	100  	0      	-12	-12  	-12         	2205.27	15868.8	20507.2	23361.4
1  	21   	4.04475	-32	-12.2	-2          	2809.35	5269.95	16431.2	27716.3
2  	23   	4.27921	-18	-5.22	0           	3329.45	3495.24	11292.3	20056.3
3  	27   	1.65831	-10	-2.1 	0           	1422.6 	2334.18	7841.97	12913.4
4  	28   	1.7865 	-8 	-0.78	0           	1254.09	2644.79	7898.62	13224  
5  	21   	1.43819	-6 	-0.54	0           	950.079	4978.97	7904.83	10889.8
6  	19   	1.90526	-10	-0.7 	0           	1319.34	310.613	7891.16	15558.1
7  	24   	1.98182	-8 	-0.82	0           	1343.67	2644.79	7851.93	13224  
8  	31   	2.12565	-10	-0.96	0           	1872.85	310.613	7901.72	15558.1
9  	21   	1.4988 	-8 	-0.56	0           	1143.72	2644.79	7928.17	13224  
