Team Abbreviation,Nickname,League (National or American),Team Name,Arena Name,Arena Location,City,Seating Capacity,Opening Year,Lat,Lon,Address,First year of this combination,Last year of this combination
ARI,Diamondbacks,NL,Arizona Diamondbacks,Chase Field,"Phoenix, Arizona",Arizona,48686,1998,33.44552,-112.06666,,1998,2021
ATL,Braves,NL,Atlanta Braves,SunTrust Park,"Cumberland, Georgia",Atlanta,41084,2017,33.89078,-84.46777,,1966,2021
BAL,Orioles,AL,Baltimore Orioles,Oriole Park at Camden Yards,"Baltimore, Maryland",Baltimore,45971,1992,39.28396,-76.6216,,1954,2021
BOS,Red Sox,AL,Boston Red Sox,Fenway Park,"Boston, Massachusetts",Boston,37755,1912,42.34667,-71.09721,,1901,2021
CHN,Cubs,NL,Chicago Cubs,Wrigley Field,"Chicago, Illinois",Chicago,41649,1914,41.94843,-87.65533,,1876,2021
CHA,White Sox,AL,Chicago White Sox,Guaranteed Rate Field,"Chicago, Illinois",Chicago,40615,1991,41.82973,-87.63351,,1901,2021
CIN,Reds,NL,Cincinnati Reds,Great American Ball Park,"Cincinnati, Ohio",Cincinnati,42319,2003,39.09793,-84.50815,,1890,2021
CLE,Indians,AL,Cleveland Indians,Progressive Field,"Cleveland, Ohio",Cleveland,34788,1994,41.49621,-81.68522,,1901,2021
COL,Rockies,NL,Colorado Rockies,Coors Field,"Denver, Colorado",Colorado,50445,1995,39.75588,-39.75588,,1993,2021
DET,Tigers,AL,Detroit Tigers,Comerica Park,"Detroit, Michigan",Detroit,41083,2000,42.33899,-83.04851,,1901,2021
HOU,Astros,AL,Houston Astros,Minute Maid Park,"Houston, Texas",Houston,41168,2000,29.75726,-95.35551,,2013,2021
KCA,Royals,AL,Kansas City Royals,Kauffman Stadium,"Kansas City, Missouri",Kansas City,37903,1973,39.05167,-94.48031,,1969,2021
ANA,Angels,AL,Los Angeles Angels,Angel Stadium,"Los Angeles, California",Anaheim,45517,1966,33.8003,-117.88273,,1997,2021
LAN,Dodgers,NL,Los Angeles Dodgers,Dodger Stadium,"Los Angeles, California",Los Angeles,56000,1962,34.07385,-118.23995,,1958,2021
MIA,Marlins,NL,Miami Marlins,Marlins Park,"Miami, Florida",Miami,36742,2012,25.77798,-80.21944,,2012,2021
MIL,Brewers,NL,Milwaukee Brewers,Miller Park,"Milwaukee, Wisconsin",Milwaukee,41900,2001,43.02797,-87.97115,,1998,2021
MIN,Twins,AL,Minnesota Twins,Target Field,"Minneapolis, Minnesota",Minnesota,38544,2010,44.98165,-93.27777,,1961,2021
NYN,Mets,NL,New York Mets,Citi Field,"Queens, New York",New York,41922,2009,40.75708,-73.84582,,1962,2021
NYA,Yankees,AL,New York Yankees,Yankee Stadium,"Bronx, New York",New York,47309,2009,40.82964,-73.92617,,1903,2021
OAK,Athletics,AL,Oakland Athletics,RingCentral Coliseum,"Oakland, California",Oakland,46847,1966,37.75159,-122.20054,,1968,2021
PHI,Phillies,NL,Philadelphia Phillies,Citizens Bank Park,"Philadelphia, Pennsylvania",Philadelphia,42792,2004,39.90605,-75.16649,,1883,2021
PIT,Pirates,NL,Pittsburgh Pirates,PNC Park,"Pittsburgh, Pennsylvania",Pittsburgh,38747,2001,40.44685,-80.00566,,1887,2021
SDN,Padres,NL,San Diego Padres,Petco Park,"San Diego, California",San Diego,40209,2004,32.70763,-117.15709,,1969,2021
SFN,Giants,NL,San Francisco Giants,Oracle Park,"San Francisco, California",San Francisco,41915,2000,37.77859,-122.38926,,1958,2021
SEA,Mariners,AL,Seattle Mariners,T-Mobile Park,"Seattle, Washington",Seattle,47929,1999,47.59142,-122.33234,,1977,2021
SLN,Cardinals,NL,St. Louis Cardinals,Busch Stadium,"St. Louis, Missouri",St. Louis,45494,2006,38.62261,-90.19282,,1892,2021
TBA,Devil Rays,AL,Tampa Bay Rays,Tropicana Field,"St. Petersburg, Florida",Tampa Bay,25000,1990,27.76822,-82.65339,,1998,2021
TEX,Rangers,AL,Texas Rangers,Globe Life Field,"Arlington, Texas",Texas,40300,2020,32.74708,-97.08218,,1972,2021
TOR,Blue Jays,AL,Toronto Blue Jays,Rogers Centre,"Toronto, Ontario",Toronto,49282,1989,43.64143,-79.38935,,1977,2021
WAS,Nationals,NL,Washington Nationals,Nationals Park,"Washington, D.C.",Washington,41339,2008,38.87301,-77.00743,,2005,2021
